,pair,Pred
1314,2603-10310,1
1315,2603-11164,1
1316,2603-13030,1
1317,2603-13150,1
1318,2603-13335,1
1319,2603-13414,1
1320,2603-13536,1
1321,2603-13768,1
1322,2603-14061,1
1323,2603-14361,1
1324,2603-14413,1
1325,2603-14537,1
1326,2603-14907,1
1327,2603-15133,1
1328,2603-15169,1
1329,2603-15412,1
1330,2603-16265,1
1331,2603-16509,1
1332,2603-17984,0
1333,2603-18106,1
1334,2603-19108,1
1335,2603-19151,1
1336,2603-19551,1
1337,2603-19754,1
1338,2603-20115,1
1339,2603-20473,1
1340,2603-20940,1
1341,2603-21859,1
1342,2603-21949,1
1343,2603-22691,1
1344,2603-22822,1
1345,2603-23393,1
1346,2603-26496,1
1347,2603-27552,1
1348,2603-29791,1
1349,2603-29838,1
1350,2603-30132,1
1351,2603-31800,1
1352,2603-31950,1
1353,2603-32098,1
1354,2603-32590,1
1355,2603-32748,1
1356,2603-32787,1
1357,2603-32934,1
1358,2603-36351,1
1359,2603-36692,1
1360,2603-37468,1
1361,2603-38016,1
1362,2603-39832,1
1363,2603-40065,0
1364,2603-41095,1
1365,2603-44444,1
1366,2603-45474,1
1367,2603-49544,1
1368,2603-51185,1
1369,2603-54113,1
1370,2603-57976,1
1371,2603-58453,1
1372,2603-58511,1
1373,2603-64050,1
1374,2603-131477,0
1375,2603-199524,1
1376,2603-394354,1
1377,2635-3402,1
1378,2635-4181,1
1379,2635-4788,1
1380,2635-5645,1
1381,2635-5650,1
1382,2635-6079,1
1383,2635-6233,1
1384,2635-6461,0
1385,2635-6939,1
1386,2635-8220,1
1387,2635-8359,1
1388,2635-9002,1
1389,2635-9304,1
1390,2635-11096,1
1391,2635-11686,1
1392,2635-13030,1
1393,2635-13786,1
1394,2635-14061,1
1395,2635-14361,1
1396,2635-14537,1
1397,2635-15412,0
1398,2635-16552,1
1399,2635-18106,1
1400,2635-19151,1
1401,2635-19653,1
1402,2635-23367,1
1403,2635-25152,1
1404,2635-25885,1
